,Name,Date,Year of Birth
753,Chris Jefferies,2/13,1980
754,Dan Kraus,2/13,1923
755,Michael McDonald,2/13,1969
756,Ed Melvin,2/13,1916
757,Daishen Nix,2/13,2002
758,Jerry Pettway,2/13,1944
759,Kendall Rhine,2/13,1943
760,Jackie Ridgle,2/13,1948
761,Luke Ridnour,2/13,1981
762,Jeryl Sasser,2/13,1979
763,LaToya Bond,2/13,1984
764,Aneika Henry-Morello,2/13,1986
765,Megan Mahoney,2/13,1983
766,Chris Babb,2/14,1990
767,Fred Carter,2/14,1945
768,Tyus Edney,2/14,1973
769,Jerry Fleishman,2/14,1922
770,Richard Hamilton,2/14,1978
771,Wali Jones,2/14,1942
772,Braxton Key,2/14,1997
773,Reggie King,2/14,1957
774,Carl McNulty,2/14,1930
775,Byron Mullens,2/14,1989
776,Gheorghe Mureșan,2/14,1971
777,Eugene Omoruyi,2/14,1997
778,Rodney Purvis,2/14,1994
779,Anthony Roberson,2/14,1983
780,William Smith,2/14,1949
781,Darius Songaila,2/14,1978
782,Kennedy Burke,2/14,1997
783,Kara Lawson,2/14,1981
784,Bernice Mosby,2/14,1984
785,Candice Wiggins,2/14,1987
786,Dan Anderson,2/15,1943
787,Don Asmonga,2/15,1928
788,Eddie Basden,2/15,1983
789,Nate Blackwell,2/15,1965
790,Gene James,2/15,1925
791,Derrick Jones Jr.,2/15,1997
792,Mark Price,2/15,1964
793,Pete Verhoeven,2/15,1959
794,Tony White,2/15,1965
795,Shameka Christon,2/15,1982
796,Ziomara Morrison,2/15,1989
797,Adrian Williams-Strong,2/15,1977
798,Tosan Evbuomwan,2/16,2001
799,Larry Finch,2/16,1951
800,Gary Leonard,2/16,1967
