,Name,Date,Year of Birth
2322,Arnie Johnson,5/16,1920
2323,Carl Kilpatrick,5/16,1956
2324,Ognjen Kuzmić,5/16,1990
2325,Karim Mané,5/16,2000
2326,Willie Reed,5/16,1990
2327,John Salley,5/16,1964
2328,Katie Benzan,5/16,1998
2329,Kelley Cain,5/16,1989
2330,Shantia Owens,5/16,1978
2331,Jerome Beasley,5/17,1980
2332,Winford Boynes,5/17,1957
2333,Ernest Brown,5/17,1979
2334,Hubert Davis,5/17,1970
2335,Terrance Ferguson,5/17,1998
2336,Channing Frye,5/17,1983
2337,Patricio Garino,5/17,1993
2338,Bill Herman,5/17,1924
2339,Hal Jeter,5/17,1945
2340,Pickles Kennedy,5/17,1938
2341,Jon Koncak,5/17,1963
2342,Danny Manning,5/17,1966
2343,Todd Mundt,5/17,1970
2344,Tony Parker,5/17,1982
2345,Dave Popson,5/17,1964
2346,Pablo Prigioni,5/17,1977
2347,Chris Smith,5/17,1970
2348,Nia Clouden,5/17,2000
2349,Nicole Levandusky,5/17,1979
2350,Avery Warley-Talbert,5/17,1987
2351,Chet Aubuchon,5/18,1916
2352,Lawrence Boston,5/18,1956
2353,Clint Capela,5/18,1994
2354,Reggie Evans,5/18,1980
2355,Noble Jorgensen,5/18,1925
2356,Ralph Kaplowitz,5/18,1919
2357,Donyell Marshall,5/18,1973
2358,Ron Mercer,5/18,1976
2359,John Morton,5/18,1967
2360,Jerry Nagel,5/18,1928
2361,Joe Roberts,5/18,1936
2362,Jack Stephens,5/18,1933
2363,Sam Vincent,5/18,1963
2364,Nina Bjedov,5/18,1972
2365,A'dia Mathies,5/18,1991
2366,Theresa Plaisance,5/18,1992
2367,Shatori Walker-Kimbrough,5/18,1995
2368,Mario Chalmers,5/19,1986
2369,Richard Dumas,5/19,1969
2370,Butch Feher,5/19,1954
2371,Kevin Garnett,5/19,1976
2372,Hamed Haddadi,5/19,1985
2373,Bill Laimbeer,5/19,1957
2374,Raul Neto,5/19,1992
2375,Dolph Schayes,5/19,1928
2376,Brian Skinner,5/19,1976
2377,Michael Smith,5/19,1965
2378,Jarrod Uthoff,5/19,1993
2379,Janell Burse,5/19,1979
2380,Kristi Cirone,5/19,1987
2381,Claire Coggins,5/19,1985
2382,Kerri Gardin,5/19,1984
2383,Erin Phillips,5/19,1985
2384,Erin Thorn,5/19,1981
2385,Ruben Boumtje-Boumtje,5/20,1978
2386,Terrell Brandon,5/20,1970
2387,Patrick Ewing,5/20,1984
2388,Enes Freedom,5/20,1992
2389,Bud Grant,5/20,1927
2390,Larry Hennessy,5/20,1929
2391,Damien Inglis,5/20,1995
2392,Dick Mehen,5/20,1922
2393,Jackie Robinson,5/20,1955
2394,Jeremy Sochan,5/20,2003
2395,Trey Thompkins,5/20,1990
2396,Ekpe Udoh,5/20,1987
2397,Bill Willoughby,5/20,1957
2398,Howard Wood,5/20,1959
2399,Julian Wright,5/20,1987
2400,Lindsay Taylor,5/20,1981
2401,James Bailey,5/21,1957
2402,Dennis Boyd,5/21,1954
2403,Žarko Čabarkapa,5/21,1981
2404,Isaiah Canaan,5/21,1991
2405,Devin Cannady,5/21,1996
2406,Ousmane Dieng,5/21,2003
2407,Leo Klier,5/21,1923
2408,Mark Landsberger,5/21,1955
2409,Jamaal Magloire,5/21,1978
2410,Jim Neal,5/21,1930
2411,Predrag Savović,5/21,1976
2412,Foots Walker,5/21,1951
2413,Ron Watts,5/21,1943
2414,Vicki Baugh,5/21,1989
2415,Jordan Horston,5/21,2001
2416,Shanele Stires,5/21,1972
2417,Randy Brown,5/22,1968
2418,Roger Brown,5/22,1942
2419,Chase Budinger,5/22,1988
2420,Roger Burkman,5/22,1958
2421,Jared Cunningham,5/22,1991
2422,Tyler Davis,5/22,1997
2423,Mickaël Gelabale,5/22,1983
2424,Chad Kinch,5/22,1958
2425,Malcolm Lee,5/22,1990
2426,Chuck Lloyd,5/22,1947
2427,Rob Lock,5/22,1966
2428,Lauri Markkanen,5/22,1997
2429,Donald Royal,5/22,1966
2430,Willie Scott,5/22,1947
2431,Larry Siegfried,5/22,1939
2432,Joe Smyth,5/22,1929
2433,Isaiah Stewart,5/22,2001
2434,Gundars Vētra,5/22,1967
2435,Johnathan Williams,5/22,1995
2436,Tiffany Bias,5/22,1992
2437,Bridget Carleton,5/22,1997
2438,Maddy Siegrist,5/22,2000
2439,Rasual Butler,5/23,1979
2440,Jack Coleman,5/23,1924
2441,Courtney Fortson,5/23,1988
2442,Kenny Gattison,5/23,1964
2443,Jaxson Hayes,5/23,2000
2444,Thomas Jordan,5/23,1968
2445,Sandro Mamukelashvili,5/23,1999
2446,Ken McBride,5/23,1929
2447,Garland O'Shields,5/23,1921
2448,Jeff Taylor,5/23,1989
2449,Rod Thorn,5/23,1941
2450,Isabelle Fijalkowski,5/23,1972
2451,Haley Jones,5/23,2001
2452,Carolyn Moos,5/23,1978
2453,Howie Dallmar,5/24,1922
2454,Joe Dumars,5/24,1963
2455,Jim Eakins,5/24,1946
2456,Kenton Edelin,5/24,1962
2457,Rolando Ferreira,5/24,1964
2458,Cleo Hill,5/24,1938
2459,Ron Horn,5/24,1938
2460,Keyontae Johnson,5/24,2000
2461,Mitch Kupchak,5/24,1954
2462,Kalin Lucas,5/24,1989
2463,Lonnie Lynn,5/24,1943
2464,Jarell Martin,5/24,1994
2465,Tracy McGrady,5/24,1979
2466,Dewitt Menyard,5/24,1944
2467,John Smith,5/24,1944
2468,Jordan Adams,5/24,1981
2469,Laura Macchi,5/24,1979
2470,Michelle Reed,5/24,1973
2471,Penny Taylor,5/24,1981
2472,Colin Castleton,5/25,2000
2473,Kendall Gill,5/25,1968
2474,Alan Hardy,5/25,1957
2475,Marcelo Huertas,5/25,1983
2476,K.C. Jones,5/25,1932
2477,Mark Jones,5/25,1975
2478,Dino Martin,5/25,1920
2479,Norman Powell,5/25,1993
2480,Bill Sharman,5/25,1926
2481,Paul Thompson,5/25,1961
2482,Derrick Williams,5/25,1991
2483,Kenisha Bell,5/25,1996
2484,LaNeishea Caufield,5/25,1980
2485,Zoi Dimitrakou,5/25,1987
2486,Katarina Lazic,5/25,1980
2487,Liz Moeggenberg,5/25,1984
2488,Eric Anderson,5/26,1970
2489,Dominick Barlow,5/26,2003
2490,Willie Burton,5/26,1968
2491,Jordan Ford,5/26,1998
2492,Tang Hamilton,5/26,1978
2493,Steve Hawes,5/26,1950
2494,Eddie Hughes,5/26,1960
2495,Riney Lochmann,5/26,1944
2496,Sam Mack,5/26,1970
2497,Tom McMillen,5/26,1952
2498,Richie Niemiera,5/26,1921
2499,Mehmet Okur,5/26,1979
2500,Dan Roundfield,5/26,1953
2501,Dereon Seabron,5/26,2000
2502,Rachael Sporn,5/26,1968
2503,Lindsay Wisdom-Hylton,5/26,1986
2504,Blake Ahearn,5/27,1984
2505,Corey Beck,5/27,1971
2506,Stuart Gray,5/27,1963
2507,Dave Greenwood,5/27,1957
2508,Julian Hammond,5/27,1943
2509,Willy Hernangómez,5/27,1994
2510,Jalen Jones,5/27,1993
2511,Allen Leavell,5/27,1957
2512,Eric Leckner,5/27,1966
2513,George McCloud,5/27,1967
2514,Chris McCray,5/27,1984
2515,Joe Reaves,5/27,1950
2516,Dick Schnittker,5/27,1928
2517,Doug West,5/27,1967
2518,Travis Williams,5/27,1969
2519,Dedric Willoughby,5/27,1974
2520,Ruthie Bolton,5/27,1967
2521,Elena Tornikidou,5/27,1965
2522,Bob Brannum,5/28,1926
2523,Armen Gilliam,5/28,1964
2524,Othello Hunter,5/28,1986
2525,Colby Jones,5/28,2002
2526,De'Anthony Melton,5/28,1998
2527,Louie Nelson,5/28,1951
2528,Glen Rice,5/28,1967
2529,Jerry West,5/28,1938
2530,Marie Gulich,5/28,1994
2531,Leticia Romero,5/28,1995
2532,Riquna Williams,5/28,1990
2533,Carmelo Anthony,5/29,1984
2534,Maceo Baston,5/29,1975
2535,Etdrick Bohannon,5/29,1973
2536,Bill Curley,5/29,1972
2537,Danny Finn,5/29,1928
2538,Alton Ford,5/29,1981
2539,Markelle Fultz,5/29,1998
2540,Alonzo Gee,5/29,1987
2541,Tate George,5/29,1968
2542,Richie Guerin,5/29,1932
2543,Stanley Johnson,5/29,1996
2544,Loyd King,5/29,1949
2545,Raef LaFrentz,5/29,1976
2546,Bill Ligon,5/29,1952
2547,Wayne Radford,5/29,1956
2548,Austin Reaves,5/29,1998
2549,Harrison Barnes,5/30,1992
2550,Billy Donovan,5/30,1965
2551,Penny Early,5/30,1943
2552,Evan Eschmeyer,5/30,1975
2553,Chad Gallagher,5/30,1969
2554,Eddie Griffin,5/30,1982
2555,Jeremy Lamb,5/30,1992
2556,Rasho Nesterović,5/30,1976
2557,John Postley,5/30,1940
2558,Dominic Pressley,5/30,1964
2559,Brian Quinnett,5/30,1966
2560,Shaedon Sharpe,5/30,2003
2561,Myisha Hines-Allen,5/30,1996
2562,Ilona Korstine,5/30,1980
2563,Billy Ray Bates,5/31,1956
2564,Ron Bonham,5/31,1942
2565,Duane Causwell,5/31,1968
2566,Shane Edwards,5/31,1987
2567,Bob Evans,5/31,1925
2568,Bob Ferry,5/31,1937
2569,Devin Gray,5/31,1972
2570,Happy Hairston,5/31,1942
2571,Matt Harpring,5/31,1976
2572,Moses Moody,5/31,2002
2573,Keith Owens,5/31,1969
2574,Nate Robinson,5/31,1984
2575,Rayan Rupert,5/31,2004
2576,Marcus Vinicius,5/31,1984
2577,Isaiah Wilson,5/31,1948
2578,Farhiya Abdi,5/31,1992
2579,Ashley Battle,5/31,1982
2580,Tony Bennett,6/1,1969
2581,Corey Gaines,6/1,1965
2582,Jerel McNeal,6/1,1987
2583,Xavier Munford,6/1,1992
2584,Johnny O'Bryant,6/1,1993
2585,Brian Oliver,6/1,1968
2586,Smush Parker,6/1,1981
2587,Levern Tart,6/1,1942
2588,Mychel Thompson,6/1,1988
2589,Anthony Tolliver,6/1,1985
2590,Dennis Van Zant,6/1,1952
2591,Nick Young,6/1,1985
2592,Sam Young,6/1,1985
2593,Emma Cannon,6/1,1989
2594,Reshanda Gray,6/1,1993
2595,Martina Weber,6/1,1982
2596,Hank Beenders,6/2,1916
2597,Dennis Bell,6/2,1951
2598,Earl Boykins,6/2,1976
2599,Tom Callahan,6/2,1921
2600,Paul Huston,6/2,1925
2601,Mile Ilić,6/2,1984
2602,Dontae' Jones,6/2,1975
2603,Eric Riley,6/2,1970
2604,Bobby Simmons,6/2,1980
2605,Bill Tosheff,6/2,1926
2606,Al Wood,6/2,1958
2607,Elena Shakirova,6/2,1970
2608,Lindsey Yamasaki,6/2,1980
2609,Tierre Brown,6/3,1979
2610,Patrick Christopher,6/3,1988
2611,Billy Cunningham,6/3,1943
2612,Scott Hastings,6/3,1960
2613,Al Horford,6/3,1986
2614,Kurk Lee,6/3,1967
2615,Tommy O'Keefe,6/3,1928
2616,Otto Porter Jr.,6/3,1993
2617,Ramón Rivas,6/3,1966
2618,Scott Roth,6/3,1963
2619,Javonte Smart,6/3,1999
2620,Jalen Suggs,6/3,2001
2621,Grace Berger,6/3,1999
2622,Lesley Brown,6/3,1977
2623,Andrea Congreaves,6/3,1970
2624,Miao Lijie,6/3,1981
2625,Lindsey Moore,6/3,1991
2626,Gale Bishop,6/4,1922
2627,Kim Hughes,6/4,1952
2628,Xavier McDaniel,6/4,1963
2629,Greg Monroe,6/4,1990
2630,Tim Perry,6/4,1965
2631,Josh Reaves,6/4,1997
2632,Zhaire Smith,6/4,1999
2633,Johnny Taylor,6/4,1974
2634,David Vaughn,6/4,1952
2635,Bobby Wanzer,6/4,1921
2636,Clarissa Davis-Wrightsil,6/4,1967
2637,Katie Smith,6/4,1974
2638,DeVaughn Akoon-Purcell,6/5,1993
2639,Antonio Anderson,6/5,1985
2640,Armoni Brooks,6/5,1998
2641,Matt Bullard,6/5,1967
2642,Ed Davis,6/5,1989
2643,Austin Daye,6/5,1988
2644,Michael Gbinije,6/5,1992
2645,Mike Hall,6/5,1984
2646,Zydrunas Ilgauskas,6/5,1975
2647,Bob Lochmueller,6/5,1927
2648,J.P. Macura,6/5,1995
2649,Billy McKinney,6/5,1955
2650,Royce O'Neale,6/5,1993
2651,Kirk Snyder,6/5,1983
2652,Marcus Thornton,6/5,1987
2653,Jack Turner,6/5,1939
2654,Beth Cunningham,6/5,1975
2655,Vanessa Hayden,6/5,1982
2656,Erin Perperoglou,6/5,1979
2657,Amy Sanders,6/5,1983
2658,Tamika Whitmore,6/5,1977
2659,Cal Christensen,6/6,1927
2660,John Garris,6/6,1959
2661,Jonathan Kerner,6/6,1974
2662,Frankie King,6/6,1972
2663,Ollie Mack,6/6,1957
2664,Mitch McGary,6/6,1992
2665,John Rudometkin,6/6,1940
2666,Robert Sacre,6/6,1989
2667,James Scott,6/6,1972
2668,Jackson Vroman,6/6,1981
2669,Roland West,6/6,1944
2670,Chuck Williams,6/6,1946
2671,Marla Brumfield,6/6,1978
2672,Makayla Epps,6/6,1995
2673,Cheryl Ford,6/6,1981
2674,Jenna O'Hea,6/6,1987
2675,Zuzana Zirkova,6/6,1980
2676,Jarrell Brantley,6/7,1996
2677,Howie Carl,6/7,1938
2678,Jordan Clarkson,6/7,1992
2679,George Glamack,6/7,1918
2680,Calvin Graham,6/7,1944
2681,Danuel House Jr.,6/7,1993
2682,Allen Iverson,6/7,1975
2683,Jermaine Jackson,6/7,1976
2684,John Laskowski,6/7,1953
2685,Tito Maddox,6/7,1981
2686,Mike Ratliff,6/7,1951
2687,Cazzie Russell,6/7,1944
2688,Mirsad Türkcan,6/7,1976
2689,Bill Zopf,6/7,1948
2690,Janice Braxton,6/7,1962
2691,Tanae Davis-Cain,6/7,1987
2692,Gillian Goring,6/7,1983
2693,Amber Holt,6/7,1985
2694,Chelsey Perry,6/7,1999
2695,Wes Bialosuknia,6/8,1945
2696,Anthony Bonner,6/8,1968
2697,Mark Davis,6/8,1963
2698,Lonnie Eggleston,6/8,1918
2699,Dave Feitl,6/8,1962
2700,Nate Hinton,6/8,1999
2701,Scott Machado,6/8,1990
2702,Mark McNamara,6/8,1959
2703,Thales McReynolds,6/8,1943
2704,Jim Palmer,6/8,1933
2705,Bryant Reeves,6/8,1973
2706,Anfernee Simons,6/8,1999
2707,Ken Wilburn,6/8,1944
2708,Dave Zeller,6/8,1939
2709,Barbara Turner,6/8,1984
2710,Udonis Haslem,6/9,1980
2711,Dwayne Jones,6/9,1983
2712,Nikola Jović,6/9,2003
2713,Billy Knight,6/9,1952
2714,Jim Nolan,6/9,1927
2715,Jahmi'us Ramsey,6/9,2001
2716,Peja Stojaković,6/9,1977
2717,Brian Taylor,6/9,1951
2718,Sebastian Telfair,6/9,1985
2719,Wayman Tisdale,6/9,1964
2720,Kenny Williams,6/9,1969
2721,Amanda Lassiter,6/9,1979
2722,Ben Clyde,6/10,1952
2723,Paul Dawkins,6/10,1957
2724,John Gianelli,6/10,1950
2725,Ralph Hamilton,6/10,1921
2726,Steve Lingenfelter,6/10,1958
2727,Will Magnay,6/10,1998
2728,Jon McGlocklin,6/10,1943
2729,Svi Mykhailiuk,6/10,1997
2730,Johnny Orr,6/10,1927
2731,Howie Shannon,6/10,1923
2732,Deividas Sirvydis,6/10,2000
2733,Jeff Teague,6/10,1988
2734,Jake Tsakalidis,6/10,1979
2735,Elston Turner,6/10,1959
2736,Jay Vincent,6/10,1959
2737,Tyrone Wallace,6/10,1994
2738,Tommy Woods,6/10,1943
2739,Kianna Smith,6/10,1999
2740,Krystal Thomas,6/10,1989
2741,Ira Bowman,6/11,1973
2742,Butch Carter,6/11,1958
2743,Sharife Cooper,6/11,2001
2744,Craig Dykema,6/11,1959
2745,Joey Graham,6/11,1982
2746,Stephen Graham,6/11,1982
2747,Chuck Hayes,6/11,1983
2748,Earnie Killum,6/11,1948
2749,Eric Maynor,6/11,1987
2750,Melvin Newbern,6/11,1967
2751,Walt Piatkowski,6/11,1945
2752,Luther Rackley,6/11,1946
2753,Davon Reed,6/11,1995
2754,Ron Sanford,6/11,1946
2755,Mike Todorovich,6/11,1923
2756,Brittany Boyd,6/11,1993
2757,Nia Coffey,6/11,1995
2758,Kathleen Doyle,6/11,1998
2759,Maya Moore,6/11,1989
2760,Hannah Sjerven,6/11,1998
2761,Diana Taurasi,6/11,1982
2762,Ramu Tokashiki,6/11,1991
2763,Darius Bazley,6/12,2000
2764,Brian Brunkhorst,6/12,1945
2765,Jason Caffey,6/12,1973
2766,John Douglas,6/12,1956
2767,Jake Fendley,6/12,1929
2768,Trent Forrest,6/12,1998
2769,Art Hillhouse,6/12,1916
2770,Jrue Holiday,6/12,1990
2771,Antawn Jamison,6/12,1976
2772,Kerry Kittles,6/12,1974
2773,Joe Kopicki,6/12,1960
2774,Théo Maledon,6/12,2001
2775,Lee Mayberry,6/12,1970
2776,Ray McCallum,6/12,1991
2777,Mychal Mulder,6/12,1994
2778,Al Negratti,6/12,1921
2779,Sergio Rodríguez,6/12,1986
2780,Rory Sparrow,6/12,1958
2781,Earl Watson,6/12,1979
2782,La'Keshia Frett,6/12,1975
2783,Lindsey Harding,6/12,1984
2784,Greta Koss,6/12,1974
2785,Angie Potthoff,6/12,1974
2786,Freddie Boyd,6/13,1950
2787,Paul Cloyd,6/13,1920
2788,Chris Duarte,6/13,1997
2789,Bruce Flowers,6/13,1957
2790,Jack Garfinkel,6/13,1918
2791,Linton Johnson,6/13,1980
2792,Gary Keller,6/13,1944
2793,Jalen Lecque,6/13,2000
2794,Šarūnas Marčiulionis,6/13,1964
2795,Jamario Moon,6/13,1980
2796,Juan Carlos Navarro,6/13,1980
2797,Chuck Nevitt,6/13,1959
2798,Steve Novak,6/13,1983
2799,Fred Saunders,6/13,1951
2800,Jordan Schakel,6/13,1998
2801,Hunter Tyson,6/13,2000
2802,Hassan Whiteside,6/13,1989
2803,Jennifer Gillom,6/13,1964
2804,Erin Grant,6/13,1984
2805,Sequoia Holmes,6/13,1986
2806,Tamara James,6/13,1984
2807,Katie Lou Samuelson,6/13,1997
2808,Lisa Willis,6/13,1984
2809,RJ Barrett,6/14,2000
2810,Leaky Black,6/14,1999
2811,Bruce Bowen,6/14,1971
2812,Rick Brunson,6/14,1972
2813,Freddie Gillespie,6/14,1997
2814,Dan Godfread,6/14,1967
2815,Keith Herron,6/14,1956
2816,Cory Higgins,6/14,1989
2817,Jerry Kelly,6/14,1918
2818,Gil McGregor,6/14,1949
2819,Eric Murdock,6/14,1968
2820,Justin Patton,6/14,1997
2821,Charlie Paulk,6/14,1946
2822,Sam Perkins,6/14,1961
2823,Paul Reed,6/14,1999
2824,Tony Smith,6/14,1968
2825,Gabe Vincent,6/14,1996
2826,Sam Thomas,6/14,1999
2827,Charlie Black,6/15,1921
2828,John Brisker,6/15,1947
2829,Wayne Chapman,6/15,1945
2830,Byron Dinkins,6/15,1967
2831,Michael Doleac,6/15,1977
2832,Mike Harris,6/15,1983
2833,Salah Mejri,6/15,1986
2834,Jérôme Moïso,6/15,1978
2835,Brent Scott,6/15,1971
2836,D.J. Strawberry,6/15,1985
2837,Žan Tabak,6/15,1970
2838,Herb White,6/15,1948
2839,Leilani Mitchell,6/15,1985
2840,Chioma Nnamaka,6/15,1985
2841,Renee Robinson,6/15,1978
2842,Ashley Shields,6/15,1985
2843,Stephanie Talbot,6/15,1994
2844,Brittany Wilkins,6/15,1983
2845,Rick Adelman,6/16,1946
2846,Brandon Armstrong,6/16,1980
2847,Ky Bowman,6/16,1997
2848,Bill Bradley,6/16,1941
2849,Anthony Carter,6/16,1975
2850,Mickey Davis,6/16,1950
2851,CJ Elleby,6/16,2000
2852,Darrell Griffith,6/16,1958
2853,Lee Johnson,6/16,1957
2854,Alex Len,6/16,1993
2855,John Mahnken,6/16,1922
2856,Mamadou N'Diaye,6/16,1975
2857,Nemanja Nedović,6/16,1991
2858,Tree Rollins,6/16,1955
2859,Hank Rosenstein,6/16,1920
2860,Shawnelle Scott,6/16,1972
2861,Al Skinner,6/16,1952
2862,Andrew White,6/16,1993
2863,Amy Herrig,6/16,1977
2864,Mfon Udoka,6/16,1976
2865,Sydney Wiese,6/16,1995
2866,Nevriye Yilmaz,6/16,1980
2867,Bob Armstrong,6/17,1933
2868,Johnny Baum,6/17,1946
2869,Amir Coffey,6/17,1997
2870,Joe Crawford,6/17,1986
2871,Terry Davis,6/17,1967
2872,Nick Fazekas,6/17,1985
2873,Bill Garner,6/17,1940
2874,Ed Johnson,6/17,1944
2875,Edgar Jones,6/17,1956
2876,Popeye Jones,6/17,1970
2877,Georges Niang,6/17,1993
2878,Worthy Patterson,6/17,1931
2879,Immanuel Quickley,6/17,1999
2880,Allan Ray,6/17,1984
2881,Damjan Rudež,6/17,1986
2882,Odie Spears,6/17,1924
2883,Jim Springer,6/17,1926
2884,Maurice Stokes,6/17,1933
2885,Kristin Haynie,6/17,1983
2886,Michael Bytzura,6/18,1922
2887,Ndudi Ebi,6/18,1984
2888,Jacob Evans,6/18,1997
2889,Mike Kearns,6/18,1929
2890,George Mikan,6/18,1924
2891,Eddie Miller,6/18,1931
2892,Evan Mobley,6/18,2001
2893,Trey Murphy III,6/18,2000
2894,Maurice Ndour,6/18,1992
2895,Bruce Seals,6/18,1953
2896,Maite Cazorla,6/18,1997
2897,Moe Barr,6/19,1944
2898,Jud Buechler,6/19,1968
2899,Jimmy Darden,6/19,1922
2900,Jalen Hood-Schifino,6/19,2003
2901,George Johnson,6/19,1947
2902,Vit Krejci,6/19,2000
2903,Jeremiah Martin,6/19,1996
2904,Bennedict Mathurin,6/19,2002
2905,Travis Mays,6/19,1968
2906,Dirk Nowitzki,6/19,1978
2907,Anthony Parker,6/19,1975
2908,Jordan Poole,6/19,1999
2909,Wayne Stevens,6/19,1936
2910,Skeeter Swift,6/19,1946
2911,Ira Terrell,6/19,1954
2912,Whitey Von Nieda,6/19,1922
2913,Mario West,6/19,1984
2914,Alondes Williams,6/19,1999
2915,Marvin Williams,6/19,1986
2916,Omer Yurtseven,6/19,1998
2917,Hassan Adams,6/20,1984
2918,Luke Babbitt,6/20,1989
2919,Oshae Brissett,6/20,1998
2920,Josh Childress,6/20,1983
2921,Winston Crite,6/20,1965
2922,Jerry Fowler,6/20,1927
2923,Gordan Giriček,6/20,1977
2924,DeQuan Jones,6/20,1990
2925,Christian Koloko,6/20,2000
2926,Fab Melo,6/20,1990
2927,Darko Miličić,6/20,1985
2928,Patrick O'Bryant,6/20,1986
2929,Rodney Rogers,6/20,1971
2930,Blackie Towery,6/20,1920
2931,Elliot Williams,6/20,1989
2932,Ameryst Alston,6/20,1994
2933,Alexis Peterson,6/20,1995
2934,Allie Quigley,6/20,1986
2935,Stephanie White,6/20,1977
2936,Herschel Baltimore,6/21,1921
2937,Mike Brittain,6/21,1963
2938,Tom Chambers,6/21,1959
2939,Derrick Coleman,6/21,1967
2940,Brian Davis,6/21,1970
2941,JaMychal Green,6/21,1990
2942,Greg Hyder,6/21,1948
2943,Richard Jefferson,6/21,1980
2944,Ronnie Price,6/21,1983
2945,Jimmy Rayl,6/21,1941
2946,Derrick Rowland,6/21,1959
2947,Don Sidle,6/21,1946
2948,Jeremy Tyler,6/21,1991
2949,Floyd Volker,6/21,1921
2950,Loren Woods,6/21,1978
2951,Thaddeus Young,6/21,1988
2952,Rae Burrell,6/21,2000
2953,Amisha Carter,6/21,1982
2954,Susie Hopson-Shelton,6/21,1974
2955,Merlakia Jones,6/21,1973
2956,Cory Alexander,6/22,1973
2957,Greg Anderson,6/22,1964
2958,Darrell Armstrong,6/22,1968
2959,Omri Casspi,6/22,1988
2960,Rastko Cvetković,6/22,1970
2961,Zoran Dragić,6/22,1989
2962,Clyde Drexler,6/22,1962
2963,Christian Eyenga,6/22,1989
2964,Bob Gantt,6/22,1922
2965,Danny Green,6/22,1987
2966,Norm Grekin,6/22,1930
2967,Milo Komenich,6/22,1920
2968,Pete Maravich,6/22,1947
2969,Keith McCord,6/22,1957
2970,John Oldham,6/22,1923
2971,Gui Santos,6/22,2002
2972,Carlos Terry,6/22,1956
2973,Hawkeye Whitney,6/22,1957
2974,Breanna Lewis,6/22,1994
2975,Nicole Powell,6/22,1982
2976,David Andersen,6/23,1980
2977,Nando De Colo,6/23,1987
2978,Walter Dukes,6/23,1930
2979,Acie Earl,6/23,1970
2980,Mark Hendrickson,6/23,1974
2981,Mike James,6/23,1975
2982,Pete Lalich,6/23,1920
2983,Saben Lee,6/23,1999
2984,Rich Manning,6/23,1970
2985,Anthony Pullard,6/23,1966
2986,Sam Ranzino,6/23,1928
2987,Jerry Rullo,6/23,1923
2988,LaSalle Thompson,6/23,1961
2989,Rudy White,6/23,1953
2990,Dontonio Wingfield,6/23,1974
2991,Alisa Burras,6/23,1975
2992,Linda Frohlich,6/23,1979
2993,Christelle N'Garsanet,6/23,1983
2994,Elizabeth Williams,6/23,1993
2995,Alaa Abdelnaby,6/24,1968
2996,Larry Foust,6/24,1928
2997,Taj Gibson,6/24,1985
2998,Lancaster Gordon,6/24,1962
2999,Kevon Harris,6/24,1997
3000,Art Heyman,6/24,1941
3001,Les Jepsen,6/24,1967
3002,Kannard Johnson,6/24,1965
3003,Sam Jones,6/24,1933
3004,Luke Kennard,6/24,1996
3005,Steve Patterson,6/24,1948
3006,JJ Redick,6/24,1984
3007,Daniel Santiago,6/24,1976
3008,David Stockton,6/24,1991
3009,Jessica Davenport,6/24,1985
3010,Ruth Hamblin,6/24,1994
3011,Desmond Bane,6/25,1998
3012,Leon Blevins,6/25,1926
3013,Duane Cooper,6/25,1969
3014,Dell Curry,6/25,1964
3015,Michael Dickerson,6/25,1975
3016,Collin Gillespie,6/25,1999
3017,Glenn Hagan,6/25,1955
3018,Reggie Johnson,6/25,1957
3019,Frank Kudelka,6/25,1925
3020,Ian Lockhart,6/25,1967
3021,Dikembe Mutombo,6/25,1966
3022,Willis Reed,6/25,1942
3023,Joy Cheek,6/25,1988
3024,Sandrine Gruda,6/25,1987
3025,Kayla McBride,6/25,1992
3026,Irina Osipova,6/25,1981
3027,J.J. Barea,6/26,1984
3028,Bob Bedell,6/26,1944
3029,Raymond Felton,6/26,1984
3030,Rudy Gobert,6/26,1992
3031,Hal Greer,6/26,1936
3032,Walter Herrmann,6/26,1979
3033,Jerome Kersey,6/26,1962
3034,Tony Koski,6/26,1946
3035,Quincy Lewis,6/26,1977
3036,Jay Murphy,6/26,1962
3037,Duop Reath,6/26,1996
3038,Iman Shumpert,6/26,1990
3039,Deron Williams,6/26,1984
3040,Ward Williams,6/26,1923
3041,Grace Daley,6/26,1978
3042,Kathrin Ress,6/26,1985
3043,Umeki Webb,6/26,1975
3044,Malik Allen,6/27,1978
3045,John Barber,6/27,1927
3046,Alex Blackwell,6/27,1970
3047,Jamaree Bouyea,6/27,1999
3048,Stan Brown,6/27,1929
3049,Russ Critchfield,6/27,1946
3050,Larry Demic,6/27,1957
3051,Landry Fields,6/27,1988
3052,Craig Hodges,6/27,1960
3053,Brice Johnson,6/27,1994
3054,Kevin Joyce,6/27,1951
3055,Monte Morris,6/27,1995
3056,Chuck Person,6/27,1964
3057,Ed Peterson,6/27,1924
3058,Joe Young,6/27,1992
3059,Cass Bauer-Bilodeau,6/27,1972
3060,Evgeniya Belyakova,6/27,1986
3061,Saniya Chong,6/27,1994
3062,Rankica Sarenac,6/27,1974
3063,Bradley Beal,6/28,1993
3064,Damone Brown,6/28,1979
3065,Bobby Hurley,6/28,1971
3066,Andrew Lang,6/28,1966
3067,Jeff Malone,6/28,1961
3068,Tom Owens,6/28,1949
3069,Giff Roux,6/28,1923
3070,Jim Spanarkel,6/28,1957
3071,Rodney White,6/28,1980
3072,Terrence Williams,6/28,1987
3073,Michele Timms,6/28,1965
3074,Jake Bornheimer,6/29,1927
3075,Bob Burrow,6/29,1934
